current_name,abbrev,team_colours,second_colour,orig_team_colours,orig_second_colour,backup_team_colours,backup_second_colour,champ_colour,prev_champ_colour,team_url
YoungHeart Manawatu,YHM,#198e54,white,#fdf58f,black,NA,NA,#bdb76b,red,/wiki/Manawatu_United
Wanderers SC,U20,white,black,#fdf58f,black,NA,NA,#bdb76b,red,/wiki/New_Zealand_men%27s_national_under-20_football_team
Wellington Phoenix Reserves,WPR,#E3C922,black,#fdf58f,black,NA,NA,#bdb76b,red,/wiki/Wellington_Phoenix_FC_Reserves
Tasman United,TAS,#99dbf7,#00234a,#fdf58f,black,NA,NA,#bdb76b,red,/wiki/Tasman_United
Hamilton Wanderers,HAM,#26347b,white,#fdf58f,black,NA,NA,#bdb76b,red,/wiki/Hamilton_Wanderers_AFC
Cashmere Technical,CAS,#27663b,#21346e,#fdf58f,black,NA,NA,#bdb76b,red,/wiki/Cashmere_Technical
Selwyn United,SEL,#023787,#666f78,#fdf58f,black,NA,NA,#bdb76b,red,/wiki/Selwyn_United_FC
Auckland United,AUN,#080808,#8a704e,#fdf58f,black,NA,NA,#bdb76b,red,/wiki/Auckland_United_FC
Birkenhead United,BIR,#d42d25,white,#fdf58f,black,NA,NA,#bdb76b,red,/wiki/Birkenhead_United_AFC
Petone,PET,#005a9c,black,#fdf58f,black,NA,NA,#bdb76b,red,/wiki/Petone_FC
